what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305521747130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521750531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521792475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305521792490
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305521794393
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305521794768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521794799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521799541
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1305521801460
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305521801757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305521814814
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305521814814
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521815173
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521817201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305521822083
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305521822302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521822583
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521826810
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1305521832223
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1305521837340
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305521843643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521845078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521865030
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305521865046
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305521866309
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521866637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521868010
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521871801
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521877011
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305521877042
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521879632
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521889569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305521889616
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305521890802
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521891114
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521892081
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521899865
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521975257
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305521976456
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305521981386
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305521993112
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521999421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305522002202
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.excludeCommand",1305522002555
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305522003382
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305522008355
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305522010989
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305522102857
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305522102860
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1305522102953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305522124403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305522145446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305522203317
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305522203675
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305522352024
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1305522352348
